,index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,DISMISSED 1,DISMISSED 2,DISMISSED 3,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,AVG SCORE,MAX SCORE,DISMISSAL AGREED,ORIGINAL MSG
0,392,635a845f1ab998280302a3e6,2022-07-27T22:00:00.000Z,karmaticacid#1218,Nikola Creatrix#5026,"for the fastest responses even while being on the road, providing amazing clarity around voting w snapshot vs gardens and helping me out with solving an issues with connecting to the right peeps ",True,False,False,ClaraZi#5313,freshelle#9882,Nicbals#2154,59.33,144.0,False,"for the fastest responses even while being on the road, providing amazing clarity around voting w snapshot vs gardens and helping me out with solving an issues with connecting to the right peeps "
79,1064,635a845f1ab998280302a686,2022-08-04T22:00:00.000Z,logonaut.eth,Giantkin#8403,"and for their encouragement and support with my first project nomination: National Butterfly Center in Mission, Texas. ",True,False,False,ClaraZi#5313,freshelle#9882,Nicbals#2154,41.0,89.0,False,"and for their encouragement and support with my first project nomination: National Butterfly Center in Mission, Texas. "
154,296,635a845f1ab998280302a386,2022-07-24T22:00:00.000Z,Cotabe#4096,WhyldWanderer#7002,for personally inviting me to the AMA and events of Giveth and for following closely the growth of our community. - from ,True,False,False,ClaraZi#5313,freshelle#9882,Dr. Suga#8514,18.67,55.0,False,for personally inviting me to the AMA and events of Giveth and for following closely the growth of our community. - from 
162,1066,635a845f1ab998280302a688,2022-08-04T22:00:00.000Z,Jake🐍#0203,Giantkin#8403,"and for their encouragement and support with my first project nomination: National Butterfly Center in Mission, Texas. ",True,False,False,cuidadopeligro#4788,Almond | oyealmond#7049,Nicbals#2154,22.67,55.0,False,"and for their encouragement and support with my first project nomination: National Butterfly Center in Mission, Texas. "
163,398,635a845f1ab998280302a3ec,2022-07-27T22:00:00.000Z,Cotabe#4096,Nikola Creatrix#5026,"for representing Giveth in twitter space yesterday with ninDAO, keeping on growing, and showing up as a powerful, knowledgeable, passionate and dedicated Givethor outhere in the space as well as inside da Ghouse. ",True,False,False,ClaraZi#5313,freshelle#9882,Dr. Suga#8514,19.33,55.0,False,"for representing Giveth in twitter space yesterday with ninDAO, keeping on growing, and showing up as a powerful, knowledgeable, passionate and dedicated Givethor outhere in the space as well as inside da Ghouse. "
165,1067,635a845f1ab998280302a689,2022-08-05T22:00:00.000Z,MoeShehab#3487,geleeroyale#3228,Sherlock Shehab ,True,False,False,ClaraZi#5313,WhyldWanderer#7002,Nikola Creatrix#5026,3.5,55.0,False,Sherlock Shehab 
310,1279,635a845f1ab998280302a75d,2022-08-10T22:00:00.000Z,nic,hanners717#2022,@nico for writing a DAO proposal for adding additional amendments to our work agreements. ,False,True,False,ClaraZi#5313,WhyldWanderer#7002,Dr. Suga#8514,18.33,34.0,False,@nico for writing a DAO proposal for adding additional amendments to our work agreements. 
353,902,635a845f1ab998280302a5e4,2022-08-03T22:00:00.000Z,karmaticacid#1218,Dr. Suga#8514,for collab on BitDOA article ,True,False,False,ClaraZi#5313,freshelle#9882,Nicbals#2154,1.57,34.0,False,for collab on BitDOA article 
569,1289,635a845f1ab998280302a767,2022-08-10T22:00:00.000Z,Amin#2164,toraif#4775,& on following up with DevOps calls. ,False,True,False,divine_comedian#5493,miguelb#5176,mateodaza#3156,3.37,21.0,False,& on following up with DevOps calls. 
578,86,635a845e1ab998280302a2b4,2022-07-20T22:00:00.000Z,VitorNunes#0090,Lilith,for always answering all upcoming technical questions on the TE Academy project thoughtfully & timely 🙂 Your research and input is much appreciated! ,False,True,False,cuidadopeligro#4788,freshelle#9882,Dr. Suga#8514,11.33,21.0,False,for always answering all upcoming technical questions on the TE Academy project thoughtfully & timely 🙂 Your research and input is much appreciated! 
