,index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,DUPLICATE ID 1,DUPLICATE ID 2,DUPLICATE ID 3,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,AVG SCORE,MAX SCORE,DUPLICATION AGREED,ORIGINAL MSG
0,746,639219c1741cc4197ad9f143,2022-12-08T17:07:13.958Z,paul2#3057,Almond | oyealmond#7049,for joining the community call and talking about Panvala!,63920a1b741cc4197ad9f0e1,63920a1b741cc4197ad9f0e1,0,ClaraZi#5313,WhyldWanderer#7002,toraif#4775,6.07,144.0,False,for joining the community call and talking about Panvala!
2,599,6388d423741cc4197ad9e9da,2022-12-01T16:19:47.905Z,hanners717#2022,Amin#2164,for pushing on workdao proposal,637bd32a741cc4197ad9d7bd,0,0,brichis#6933,Danibelle the Uno and Only#6791,Nikola Creatrix#5026,13.47,144.0,False,for pushing on workdao proposal
4,146,6376512a7492eab52e0d9883,2022-11-17T15:20:10.069Z,missgene#7773,Cherik#4711,supporting us in Turkey,63764dab7492eab52e0d9731,0,63764dab7492eab52e0d9731,brichis#6933,Danibelle the Uno and Only#6791,Nikola Creatrix#5026,7.17,144.0,False,supporting us in Turkey
5,810,6399b22c741cc4197ad9f41d,2022-12-14T11:23:24.694Z,hanners717#2022,MoeShehab#3487,"For working on the WorkDAO forum proposal, and making complex legal points easy to follow with simple language for everyone. You are awesome 😎",637bd32a741cc4197ad9d7bd,0,638e0c11741cc4197ad9ea4a,brichis#6933,Danibelle the Uno and Only#6791,Nikola Creatrix#5026,7.6,144.0,False,"For working on the WorkDAO forum proposal, and making complex legal points easy to follow with simple language for everyone. You are awesome 😎"
11,690,63915776741cc4197ad9ee59,2022-12-08T03:18:14.997Z,hanners717#2022,freshelle#9882,"for all the background work she's doing on the WorkDAO partnership and making sure contributors will easily understand the proposal, and clarifying the terms of the agreements/proposal",637bd32a741cc4197ad9d7bd,637bd32a741cc4197ad9d7bd,638e0c11741cc4197ad9ea4a,brichis#6933,Danibelle the Uno and Only#6791,Nikola Creatrix#5026,5.77,144.0,False,"for all the background work she's doing on the WorkDAO partnership and making sure contributors will easily understand the proposal, and clarifying the terms of the agreements/proposal"
13,699,6391f60a741cc4197ad9eee7,2022-12-08T14:34:50.641Z,hanners717#2022,MoeShehab#3487,For her relentless work the proposal for workDAO,637bd32a741cc4197ad9d7bd,637bd32a741cc4197ad9d7bd,638e0c11741cc4197ad9ea4a,brichis#6933,Danibelle the Uno and Only#6791,Nikola Creatrix#5026,5.77,144.0,False,For her relentless work the proposal for workDAO
15,607,638e0c11741cc4197ad9ea4a,2022-12-05T15:19:45.924Z,hanners717#2022,MoeShehab#3487,"For her great update on WorkDAO partnership proposal, and working hard on simplifiying legal language to post on the forum post",637bd32a741cc4197ad9d7bd,637bd32a741cc4197ad9d7bd,0,brichis#6933,Danibelle the Uno and Only#6791,Nikola Creatrix#5026,16.4,144.0,False,"For her great update on WorkDAO partnership proposal, and working hard on simplifiying legal language to post on the forum post"
16,783,63989070741cc4197ad9f318,2022-12-13T14:47:12.011Z,hanners717#2022,cuidadopeligro#4788,For posting the finalized WorkDAO proposal!  Great work keeping the proposal simple and understandable for the community!,637bd32a741cc4197ad9d7bd,0,638e0c11741cc4197ad9ea4a,brichis#6933,Danibelle the Uno and Only#6791,Nikola Creatrix#5026,10.27,144.0,False,For posting the finalized WorkDAO proposal!  Great work keeping the proposal simple and understandable for the community!
24,661,638fbac3741cc4197ad9ed25,2022-12-06T21:57:23.238Z,Danibelle the Uno and Only#6791,Almond | oyealmond#7049,for creating an amazing presentation for pimp your project Giveth workshop!,6390c712741cc4197ad9ede9,63861f9a741cc4197ad9e3e8,0,ClaraZi#5313,WhyldWanderer#7002,Nikola Creatrix#5026,35.6,144.0,False,for creating an amazing presentation for pimp your project Giveth workshop!
25,682,6390c712741cc4197ad9ede9,2022-12-07T17:02:10.281Z,Danibelle the Uno and Only#6791,Almond | oyealmond#7049,for facilitating a great Pimp your project workshop!!,0,63861f9a741cc4197ad9e3e8,0,ClaraZi#5313,WhyldWanderer#7002,Nikola Creatrix#5026,97.13,144.0,False,for facilitating a great Pimp your project workshop!!
