USER IDENTITY,USER ADDRESS,PRAISE_REWARD,QUANT_REWARD,NR_OF_PRAISES_QUANTIFIED,REWARDBOARD_REWARD,TOTAL TO RECEIVE
griffgreen#0,0x839395e20bbb182fa440d08f850e6c7a8f6f0780,1422.802434385698,0.0,0.0,0.0,1422.802434385698
karmaticacid#0,0xc46c67bb7e84490d7ebdd0b8ecdaca68cf3823f4,1222.3020159756563,0.0,0.0,0.0,1222.3020159756563
danidiabella#0,0x5d28fe1e9f895464aab52287d85ebff32b351674,1080.7723088626856,0.0,0.0,0.0,1080.7723088626856
whyldwanderer,0xed8db37778804a913670d9367aaf4f043aad938b,544.6749334347661,328.37991240875914,171.0,0.0,873.0548458435253
oyealmond#0,0x0d22735de6d34dc2ed5efdbc2f30d7aa8e2b9f8e,872.7665271966528,0.0,0.0,0.0,872.7665271966528
nicbals,0xd9d5d85b2682830ac58a78c279e0c177953738b4,526.447622670217,345.66306569343067,180.0,0.0,872.1106883636477
missgene#0,0xbe6f56ed9e10e5f58876f7bdf1c83eedaa721fbc,717.2982883225562,0.0,0.0,0.0,717.2982883225562
divine_comedian#0,0x826976d7c600d45fb8287ca1d7c76fc8eb732030,716.2260935717007,0.0,0.0,0.0,716.2260935717007
mohammad_ranjbar_z#0,0x2ea846dc38c6b6451909f1e7ff2bf613a96dc1f3,657.2553822746293,0.0,0.0,0.0,657.2553822746293
missing username,0x0b7246ef74ca7b37fdc3d15be4f0b49876622f95,0.0,0.0,0.0,563.76,563.76
freshelle,0x38f80f8f76b1c44b2beefb63bb561f570fb6ddb6,496.4261696462536,0.0,0.0,0.0,496.4261696462536
nikola_creatrix,0x9924285ff2207d6e36642b6832a515a6a3aedcab,154.39604412324073,295.7339562043796,154.0,0.0,450.13000032762034
moenick,0xa4d506434445bb7303ea34a07bc38484cdc64a95,448.17740585774084,0.0,0.0,0.0,448.17740585774084
ramramez#0,0x10a84b835c5df26f2a380b3e00bcc84a66cd2d34,446.03301635602884,0.0,0.0,0.0,446.03301635602884
cuidadopeligro,0x8132505baedbaa7320b8f2340f65976edc0e8fbc,324.87500950931894,117.14137226277373,61.0,0.0,442.0163817720927
MAYE#1208,0xf41b98a4c32bb61468c8001e0c69ef64ce6dea57,424.5891213389124,0.0,0.0,0.0,424.5891213389124
Maryjaf#2478,0x756a78077a06493b9ff0ed18b50df695dfa5e0d9,417.0837580829212,0.0,0.0,0.0,417.0837580829212
hanners717#0,0x711cdabcfdedef2c82d9da533268d8bb6b7468f8,377.4125523012553,0.0,0.0,0.0,377.4125523012553
cotabe,0xe64113140960528f6af928d7ca4f45d192286a7a,355.9686572841383,0.0,0.0,0.0,355.9686572841383
