,index,CLEANED REASON,REASON,AVG SCORE,TO USER ACCOUNT,DATE,category
0,0,awesom job talk giveth rainbow roll dao meet eureka street crypto decid spotlight us video transpar impact speaker ,for doing such an awesome job talking about Giveth at the Rainbow Rolls DAO meeting that Eureka Street Crypto decided to spotlight us in their video about transparency. You're such an impactful speaker!! ,55.33,willyfox#1178,2021-11-16T23:00:00.000Z,
1,1,awesom ,for being awesome ,50.67,Ramin#4479,2021-11-17T23:00:00.000Z,
2,2,,for being here! ,50.0,mateodaza#3156,2021-11-24T23:00:00.000Z,
7,7,product giveconomi comm launch plan brianstorm session ,for productive GIVeconomy comms launch plan brianstorming session ,55.0,ReForest,2021-12-07T23:00:00.000Z,
8,8,help get nrgiv token part vote instanc ,for helping get NrGiv tokens to be part of voting instances! ,56.67,divine_comedian#5493,2021-12-08T23:00:00.000Z,
9,9,excel mate build giveth dapp readi launch ,for being excellent mates building the giveth dapp and having it ready for launch ,53.47,Carlos096#8712,2021-12-08T23:00:00.000Z,
12,12,support giveconomi smart contract ,for supporting GIVeconomy smart contracts ,14.77,paxthemax#4454,2021-12-08T23:00:00.000Z,
15,15,back smart contract ,for backing up on the smart contracts ,14.77,paxthemax#4454,2021-12-01T23:00:00.000Z,
24,24,effort review smart contract step test smart contract ,for all his effort on reviewing our smart contracts and stepping up on testing smart contracts ,89.0,paxthemax#4454,2021-11-24T23:00:00.000Z,
25,25,giveconomi crew 💜 best team ever giveth  ,the GIVECONOMY CREW 💜 best team ever <:Giveth:809539267248259092> ,3.3,karmaticacid#1218,2021-12-08T23:00:00.000Z,
27,27,get  verifi project givethio via give block integr ,for getting over 700 verified projects on Givethio via The Giving Block integration ,51.67,Carlos096#8712,2021-12-08T23:00:00.000Z,
29,29,giveconomi test today ,for GIVeconomy testing today! ,3.73,divine_comedian#5493,2021-12-09T23:00:00.000Z,
30,30,send swag 🥰 ,for sending my swags 🥰 ,31.0,willyfox#1178,2021-11-27T23:00:00.000Z,
31,31,finish givdrop video ,for finishing GIVdrop video ,7.6,graymachine#0976,2021-12-01T23:00:00.000Z,
33,33,sick look givdrop video ,for a SICK looking GIVdrop video ,18.93,graymachine#0976,2021-12-01T23:00:00.000Z,
36,36,test featur ,for testing features! ,4.4,divine_comedian#5493,2021-12-01T23:00:00.000Z,
38,38,test dapp ,for all the testing on the dapps ,8.3,divine_comedian#5493,2021-12-01T23:00:00.000Z,
39,39, flow get much much better thank ,"--- This flow gets much much better than before, thanks. ",42.0,Rodricast#1415,2021-12-08T23:00:00.000Z,
40,40, prais dev ,- PRAISE ALL DEVS!!! ,5.95,pKrepe,2021-12-08T23:00:00.000Z,
41,41,show dev team add vote dao ,for showing the dev team how to add votes in the DAO ,35.0,divine_comedian#5493,2021-12-01T23:00:00.000Z,
42,42,alway help hand test tri avail dev call everyday ,for always being a helping hand on test and trying to be available at devs call everyday.. ,35.0,divine_comedian#5493,2021-12-01T23:00:00.000Z,
43,43,great payment track ,for great payment tracking ,5.95,freshelle#9882,2021-12-08T23:00:00.000Z,
44,44,smooth payment super organ ,for being so smooth at payments and super organized ,5.95,freshelle#9882,2021-12-01T23:00:00.000Z,
49,49,support everyon payment ,and for their support on everyone's payment ,4.7,freshelle#9882,2021-12-01T23:00:00.000Z,
50,50,manag payment good commun ,for managing payments and good communication! ,4.7,freshelle#9882,2021-12-01T23:00:00.000Z,
51,51,handl pan payment time gitcoin grant ,for handling PAN payments just in time for the gitcoin grants! ,4.7,freshelle#9882,2021-12-08T23:00:00.000Z,
52,52,gather pan payment inform get sent contributor ,for gather PAN payments information and getting it sent out to contributors ,4.7,freshelle#9882,2021-12-08T23:00:00.000Z,
53,53,step test ,for stepping up on testing ,8.97,divine_comedian#5493,2021-11-24T23:00:00.000Z,
54,54,know cut scope 😉 ,for knowing when to cut scope 😉 ,6.3,"Griff (💜,💜)#8888",2021-12-01T23:00:00.000Z,
56,56,great support payment ,for her great support on payments! ,4.7,freshelle#9882,2021-12-01T23:00:00.000Z,
58,58,push novemb payment effici ,for pushing out November payments efficiently ,47.0,freshelle#9882,2021-11-30T23:00:00.000Z,
60,60,great test assist ,for great testing assist ,5.33,divine_comedian#5493,2021-11-24T23:00:00.000Z,
62,62,follow giveconomi effort ,for following up GIVeconomy and her efforts. ,16.97,karmaticacid#1218,2021-12-08T23:00:00.000Z,
63,63,mani giveconomi test fix upload doc put link hero 👀 ,"for all the many GIVeconomy test fixes, for uploading all the docs and putting all the links in there - you're a hero 👀 ",9.97,divine_comedian#5493,2021-12-14T23:00:00.000Z,
65,65,test issu fast precis ,For testing issues very fast and precise ,39.33,divine_comedian#5493,2021-12-01T23:00:00.000Z,
66,66,great support garden ,for all the great support on Gardens! ,48.5,"sem(🌸,🐝)#0161",2021-12-01T23:00:00.000Z,
71,71,support everyon payment ,and for their support on everyone's payment ,4.1,"Griff (💜,💜)#8888",2021-12-01T23:00:00.000Z,
72,72,amaz effort giv economi help debug code ,for his amazing effort on giv economy and help & debug my codes ,25.63,Amin#2164,2021-12-08T23:00:00.000Z,
73,73,fix mani bug givecononmi prove support everyon ,for fixing many bugs in givecononmy and proving support to everyone ,41.0,Amin#2164,2021-12-08T23:00:00.000Z,
75,75,help make issu organ team giv economi ,For helping on making issues and organize team in giv economy ,10.27,karmaticacid#1218,2021-11-24T23:00:00.000Z,
78,78,push novemb payment effici ,for pushing out November payments efficiently ,41.0,"Griff (💜,💜)#8888",2021-11-30T23:00:00.000Z,
79,79,facilit giveconomi comm call move issu forward ,for facilitating GIVeconomy and Comms calls and moving issues forward ,41.0,karmaticacid#1218,2021-11-24T23:00:00.000Z,
83,83,fix rip medic debt issu phewww ,fixing RIP medical debt issue phewww ,45.33,0x,2021-12-01T23:00:00.000Z,
84,84,meticul eye test abl omni present help team effect whether test comm govern alway open give best ,"for his meticulous eyes on testing, and be able to be omni present and help all the team out effectively whether it is testing, or comms or governance he is always open to give his best ",11.63,divine_comedian#5493,2021-12-01T23:00:00.000Z,
91,91,wonder job post banner two option ,for the wonderful job posting banners with two options! ,55.0,catarina,2021-12-06T23:00:00.000Z,
92,92,great test effort ,and all of the great testing efforts ,43.67,divine_comedian#5493,2021-11-24T23:00:00.000Z,
94,94,manag new releas ,for managing new release. ,37.37,mateodaza#3156,2021-12-01T23:00:00.000Z,
95,95,rep giveth baranquilla meetup ,for repping giveth in the baranquilla meetup ,55.0,Juankbell#7458,2021-11-24T23:00:00.000Z,
96,96,come support giveconomi ,for coming on to support GIVeconomy ,55.0,pKrepe,2021-12-01T23:00:00.000Z,
98,98,dev team appreci support us launch year ,the dev team ~ appreciate you supporting us in launching this year!!! ,14.95,pKrepe,2021-12-08T23:00:00.000Z,
99,99,passion care lot ux peopl interact giveth io whole wallet account ,"for being passionate and caring a lot of UX and how people will interact with Giveth.io as a whole, and for Wallet/Account ",28.3,MoeNick#1374,2021-11-17T23:00:00.000Z,
100,100,evm crispr support ,for EVM-crispr support ,55.0,"sem(🌸,🐝)#0161",2021-12-08T23:00:00.000Z,
101,101,set giveth swag shop ,for setting up giveth swag shop ,48.0,kristofer#1475,2021-12-08T23:00:00.000Z,
103,103, amin invocamanman paxthemax# support giveth smart contract ,@Amin@invocamanman @paxthemax#4454 for supporting on Giveth smart contracts ,43.67,"Griff (💜,💜)#8888",2021-11-17T23:00:00.000Z,
106,106,fix mani mani issu giveconomi ,for fixing many many issues in the GIVeconomy ,21.45,Fábio,2021-12-09T23:00:00.000Z,
107,107,come support giveconomi ,for coming on to support GIVeconomy ,61.5,Fábio,2021-12-01T23:00:00.000Z,
109,109,fix post releas bug ,For fixing post-release bugs ,32.63,Carlos096#8712,2021-12-01T23:00:00.000Z,
111,111,amaz manag giv economi ,For her amazing management on giv economy ,43.97,karmaticacid#1218,2021-12-01T23:00:00.000Z,
112,112,great coordin around rip donat ,for great coordination around the RIP donations ,59.33,0xJoshua | Opolis | RainbowRolls,2021-12-01T23:00:00.000Z,
114,114,handl mani issu upon releas boy ,for a handling many issues with me upon release. We did it boys! ,42.83,Carlos096#8712,2021-12-01T23:00:00.000Z,
115,115,great pm giveconomi ,for being great PM for givEconomy ,17.27,karmaticacid#1218,2021-12-01T23:00:00.000Z,
118,118,fix rip medic debt issu phewww ,fixing RIP medical debt issue phewww ,19.8,karmaticacid#1218,2021-12-01T23:00:00.000Z,
119,119,facilit govern call ,for facilitating governance call ,6.5,divine_comedian#5493,2021-12-01T23:00:00.000Z,
120,120, prais dev ,- PRAISE ALL DEVS!!! ,3.25,VitorNunes#0090,2021-12-08T23:00:00.000Z,
123,123,,for being here! ,6.5,divine_comedian#5493,2021-11-24T23:00:00.000Z,
126,126,awesom meal cook barranquilla holi moli ,"again for the awesome meal he cooked in Barranquilla, holy moly! ",6.5,divine_comedian#5493,2021-12-01T23:00:00.000Z,
129,129,donat verifi unverifi project givethio ,for donating to verified/unverified projects on givethio ,30.67,karmaticacid#1218,2021-12-08T23:00:00.000Z,
130,130,get us readi gitcoin grant ,for getting us ready for gitcoin grants ,3.53,divine_comedian#5493,2021-12-01T23:00:00.000Z,
132,132,donat verifi unverifi project givethio ,for donating to verified/unverified projects on givethio ,26.33,MoeNick#1374,2021-12-08T23:00:00.000Z,
133,133,facilit effici govern call ,for facilitating an efficient governance call ,3.97,divine_comedian#5493,2021-11-24T23:00:00.000Z,
134,134,support giveconomi smart contract ,for supporting GIVeconomy smart contracts ,10.5,invocamanman,2021-12-08T23:00:00.000Z,
136,136,pick partnership faq updat offer support vay k ish ,"for picking up the partnerships and faq updates, and for offering support while I'm on vay-k(ish) ",4.2,divine_comedian#5493,2021-11-24T23:00:00.000Z,
137,137, prais prais great test job comm updat faq ,"!praise !praise for his great testing job, comms and updating FAQs ",7.83,divine_comedian#5493,2021-11-24T23:00:00.000Z,
138,138,dev team appreci support us launch year ,the dev team ~ appreciate you supporting us in launching this year!!! ,5.25,VitorNunes#0090,2021-12-08T23:00:00.000Z,
139,139,help dev understand issu better contribut analyt ,for helping devs understand issues better and his contribution in analytics ,27.0,divine_comedian#5493,2021-11-24T23:00:00.000Z,
